coefficients,attributes
0.9145021102250374,advanced_appt_yn
0.4664319756659315,within_week_appt_yn
0.23765878982719454,young_adult_yn
0.17389608467554205,repeat_patient_yn
0.17174899253341636,child_yn
0.1642412833024159,alcoholism
0.16223835892589902,welfare_assistance
0.10120645212020221,diabetes
0.0932658057521476,gender_yn
0.05675808430335791,handicap_yn
0.046913420035594476,monday_yn
0.0457246304752081,neighborhood_income_lower_yn
0.03381311886445048,tuesday_yn
0.011678334668026149,friday_yn
0.0035177528815364643,saturday_yn
-0.014720851648370902,wednesday_yn
-0.018062824629322474,neighborhood_income_middle_yn
-0.027435419001453857,neigborhood_income_higher_yn
-0.04980486657416982,day_after_holiday_yn
-0.05595329010627588,adult_yn
-0.06572979783301465,hypertension
-0.08097538795680743,thursday_yn
-0.2570018308261116,sms_received
-0.3532281054099028,senior_yn
-1.380707699046535,same_day_appt_yn
