"Mesorregiões, microrregiões, municípios, distritos, subdistritos e bairros","Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade (R$)"
"Andorinhas",510.00
"Antonio Honório",755.00
"Ariovaldo Favalessa",510.00
"Barro Vermelho",2000.00
"Bela Vista",510.00
"Bento Ferreira",1500.00
"Boa Vista",590.00
"Bonfim",510.00
"Carapina I",700.00
"Caratoíra",510.00
"Centro",1000.00
"Comdusa",510.00
"Conquista",510.00
"Consolação",510.00
"Cruzamento",510.00
"da Penha",510.00
"De Fátima",795.00
"de Lourdes",1000.00
"do Cabral",510.00
"do Moscoso",510.00
"do Quadro",510.00
"Enseada do Suá",2000.00
"Estrelinha",510.00
"Fonte Grande",510.00
"Forte São João",510.00
"Fradinhos",1000.00
"Goiabeiras",550.00
"Grande Vitória",510.00
"Gurigica",510.00
"Hélio Ferraz",600.00
"Horto",510.00
"Ilha das Caieiras",510.00
"Ilha de Santa Maria",560.00
"Ilha do Boi",1500.00
"Ilha do Frade",2500.00
"Ilha do Príncipe",510.00
"Inhanguetá",510.00
"Itararé",510.00
"Jabour",1000.00
"Jardim Camburí",1500.00
"Jardim da Penha",1500.00
"Jesus de Nazareth",510.00
"Joana D'arc",510.00
"Jucutuquara",800.00
"Maria Ortiz",510.00
"Mário Cypreste",510.00
"Maruípe",800.00
"Mata da Praia",2000.00
"Monte Belo",511.00
"Morada de Camburí",1100.00
"Nazareth",850.00
"Nova Palestina",510.00
"Parque Industrial",405.00
"Parque Moscoso",1005.00
"Piedade",510.00
"Pontal de Camburí",800.00
"Praia do Canto",2000.00
"Praia do Suá",510.00
"Redenção",510.00
"República",900.00
"Resistência",510.00
"Romão",510.00
"Santa Cecília",1000.00
"Santa Clara",700.00
"Santa Helena",2500.00
"Santa Lúcia",1500.00
"Santa Luíza",1000.00
"Santa Martha",510.00
"Santa Tereza",510.00
"Santo André",510.00
"Santo Antônio",510.00
"Santos Dumont",510.00
"Santos Reis",510.00
"São Benedito",440.00
"São Cristovão",510.00
"São José",510.00
"São Pedro",510.00
"Segurança do Lar",700.00
"Solon Borges",700.00
"Tabuazeiro",510.00
"Universitário",600.00
"Vila Rubim",510.00
